구분,차수,온도
구간 전체,1차,-0.5
구간 전체,1차,-0.7
구간 전체,1차,-0.8
구간 전체,1차,-0.9
구간 전체,1차,-0.9
구간 전체,1차,-0.9
구간 전체,1차,-0.9
구간 전체,1차,-0.2
구간 전체,1차,0
구간 전체,1차,-0.6
구간 전체,1차,-0.4
구간 전체,1차,-0.4
구간 전체,1차,-0.2
구간 전체,1차,0
구간 전체,1차,-0.1
구간 전체,1차,-0.2
구간 전체,1차,-0.1
구간 전체,1차,-0.3
구간 전체,1차,-0.1
구간 전체,1차,-0.3
구간 전체,1차,-0.1
구간 전체,1차,-0.1
구간 전체,1차,-0.5
구간 전체,1차,-0.3
구간 전체,1차,-0.3
구간 전체,1차,-0.1
구간 전체,1차,-0.2
구간 전체,1차,-0.2
구간 전체,1차,-0.3
구간 전체,1차,-0.4
구간 전체,1차,0.2
구간 전체,1차,-0.2
구간 전체,1차,-0.2
구간 전체,1차,-0.3
구간 전체,1차,-0.5
구간 전체,1차,-0.5
구간 전체,1차,-0.4
구간 전체,1차,-0.5
구간 전체,1차,-0.6
구간 전체,1차,-0.6
구간 전체,1차,-0.5
구간 전체,1차,-0.3
구간 전체,1차,-0.4
구간 전체,1차,-0.1
구간 전체,1차,0
구간 전체,1차,-0.4
구간 전체,1차,0.1
구간 전체,1차,-0.1
구간 전체,1차,-0.1
구간 전체,1차,0
구간 전체,1차,-0.1
구간 전체,1차,-0.4
구간 전체,1차,0.1
구간 전체,1차,0
구간 전체,1차,-0.2
구간 전체,1차,0.1
구간 전체,1차,0
구간 전체,1차,-0.3
구간 전체,1차,-0.1
구간 전체,1차,-0.1
구간 전체,1차,-0.2
구간 전체,1차,-0.3
구간 전체,1차,-0.5
구간 전체,1차,-0.5
구간 전체,1차,-0.5
진입 전,1차,1
진입 전,1차,0.8
진입 전,1차,0.7
진입 전,1차,0.8
진입 전,1차,0.9
진입 전,1차,0.8
진입 전,1차,0.8
진입 전,1차,0.8
진입 전,1차,0.9
진입 전,1차,0.7
진입 전,1차,0.8
진입 전,1차,0.8
진입 전,1차,0.7
진입 전,1차,1.1
진입 전,1차,1.1
진입 전,1차,1.1
진입 전,1차,1.1
진입 전,1차,1.1
진입 전,1차,0.9
진입 전,1차,1.1
진입 전,1차,0.8
진입 전,1차,0.7
진입 전,1차,1.1
진입 전,1차,0.9
진입 전,1차,1
진입 전,1차,0.7
진입 전,1차,1.1
진입 전,1차,1
진입 전,1차,1.1
진입 전,1차,0.9
진입 전,1차,1.1
진입 전,1차,0.9
진입 전,1차,0.6
진입 전,1차,0.9
진입 전,1차,0.6
진입 전,1차,0.8
진입 전,1차,0.8
진입 전,1차,0.9
진입 전,1차,1.1
진입 전,1차,0.9
진입 전,1차,1
진입 전,1차,1
진입 전,1차,0.9
진입 전,1차,0.9
진입 전,1차,1
진입 전,1차,1
진입 전,1차,0.9
진입 전,1차,0.9
진입 전,1차,0.8
진입 전,1차,1.1
진입 전,1차,1.1
진입 전,1차,1.1
진입 전,1차,1
진입 전,1차,0.3
진입 전,1차,0.6
진입 전,1차,0.8
진입 전,1차,0.9
진입 전,1차,0.9
진입 전,1차,1
진입 전,1차,1
진입 전,1차,0.9
진입 전,1차,1
진입 전,1차,1.1
진입 전,1차,0.9
진입 전,1차,1
진입 전,1차,1
진입 전,1차,0.4
진입 전,1차,0.5
진입 전,1차,1.2
진입 전,1차,1.1
진입 전,1차,1
진입 전,1차,0.9
진입 전,1차,1.2
진입 전,1차,1.1
진입 전,1차,1.1
진입 전,1차,1.1
진입 전,1차,0.9
진입 전,1차,1.1
진입 전,1차,0.8
진입 전,1차,0.6
진입 전,1차,0.7
진입 전,1차,0.8
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.5
진입 전,1차,0.4
진입 전,1차,0.4
진입 전,1차,0.4
진입 전,1차,0.6
진입 전,1차,0.8
진입 전,1차,0.5
진입 전,1차,0.4
진입 전,1차,0.5
진입 전,1차,0.4
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.4
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.4
진입 전,1차,0.5
진입 전,1차,0.5
진입 전,1차,0.5
진입 전,1차,0.5
진입 전,1차,0.5
진입 전,1차,0.6
진입 전,1차,0.7
진입 전,1차,1
진입 전,1차,0.7
진입 전,1차,0.5
진입 전,1차,0.4
진입 전,1차,0.4
진입 전,1차,0.4
진입 전,1차,0.4
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.4
진입 전,1차,0.4
진입 전,1차,0.4
진입 전,1차,0.7
진입 전,1차,0.6
진입 전,1차,0.5
진입 전,1차,0.4
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.5
진입 전,1차,0.7
진입 전,1차,0.5
진입 전,1차,0.6
진입 전,1차,0.7
진입 전,1차,0.7
진입 전,1차,0.4
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.3
진입 전,1차,0.6
진입 전,1차,0.4
진입 전,1차,0.4
진입 전,1차,0.5
진입 전,1차,0.5
진입 전,1차,0.4
진입 전,1차,0.5
진입 전,1차,0.4
진입 전,1차,0.6
진입 전,1차,0.5
진입 전,1차,0.5
진입 전,1차,0.4
급락구간,1차,-0.8
급락구간,1차,0
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0.1
급락구간,1차,0
급락구간,1차,-0.2
급락구간,1차,-0.1
급락구간,1차,0.1
급락구간,1차,0
급락구간,1차,0.1
급락구간,1차,-0.1
급락구간,1차,-0.3
급락구간,1차,-0.4
급락구간,1차,-0.5
급락구간,1차,-0.5
급락구간,1차,-0.7
급락구간,1차,-0.8
급락구간,1차,-0.9
급락구간,1차,-0.9
급락구간,1차,-0.9
급락구간,1차,-0.9
급락구간,1차,-0.2
급락구간,1차,0
급락구간,1차,-0.6
급락구간,1차,-0.4
급락구간,1차,-0.4
급락구간,1차,-0.2
급락구간,1차,0
급락구간,1차,-0.1
급락구간,1차,-0.2
급락구간,1차,-0.1
급락구간,1차,-0.3
급락구간,1차,-0.1
급락구간,1차,-0.3
급락구간,1차,-0.1
급락구간,1차,-0.1
급락구간,1차,-0.5
급락구간,1차,-0.3
급락구간,1차,-0.3
급락구간,1차,-0.1
급락구간,1차,-0.2
급락구간,1차,-0.2
급락구간,1차,-0.3
급락구간,1차,-0.4
급락구간,1차,-0.2
급락구간,1차,-0.2
급락구간,1차,-0.3
급락구간,1차,-0.5
급락구간,1차,-0.5
급락구간,1차,-0.4
급락구간,1차,-0.5
급락구간,1차,-0.6
급락구간,1차,-0.6
급락구간,1차,-0.5
급락구간,1차,-0.3
급락구간,1차,-0.4
급락구간,1차,-0.1
급락구간,1차,0
급락구간,1차,-0.4
급락구간,1차,0.1
급락구간,1차,-0.1
급락구간,1차,-0.1
급락구간,1차,0
급락구간,1차,-0.1
급락구간,1차,-0.4
급락구간,1차,0.1
급락구간,1차,0
급락구간,1차,-0.2
급락구간,1차,0.1
급락구간,1차,0
급락구간,1차,-0.3
급락구간,1차,-0.1
급락구간,1차,-0.1
급락구간,1차,-0.2
급락구간,1차,-0.3
급락구간,1차,-0.5
급락구간,1차,-0.5
급락구간,1차,-0.5
구간 전체,2차,-5.5
구간 전체,2차,-5.5
구간 전체,2차,-5.6
구간 전체,2차,-5.5
구간 전체,2차,-5.6
구간 전체,2차,-5.6
구간 전체,2차,-5.6
구간 전체,2차,-5.6
구간 전체,2차,-5.8
구간 전체,2차,-5.7
구간 전체,2차,-5.4
구간 전체,2차,-5.6
구간 전체,2차,-5.2
구간 전체,2차,-5.4
구간 전체,2차,-5.3
구간 전체,2차,-5.3
구간 전체,2차,-5.1
구간 전체,2차,-5.1
구간 전체,2차,-5.3
구간 전체,2차,-4.9
구간 전체,2차,-5.1
구간 전체,2차,-5.1
구간 전체,2차,-5.5
구간 전체,2차,-5.2
구간 전체,2차,-5.5
구간 전체,2차,-5.7
구간 전체,2차,-5.5
구간 전체,2차,-5.4
구간 전체,2차,-5.2
구간 전체,2차,-5.6
구간 전체,2차,-5.5
구간 전체,2차,-5.4
구간 전체,2차,-5.7
구간 전체,2차,-5.8
구간 전체,2차,-6
구간 전체,2차,-5.7
구간 전체,2차,-5.9
구간 전체,2차,-6.1
구간 전체,2차,-5.7
구간 전체,2차,-5.7
구간 전체,2차,-6.8
구간 전체,2차,-7
구간 전체,2차,-6.8
구간 전체,2차,-7
구간 전체,2차,-6.8
구간 전체,2차,-6.9
구간 전체,2차,-6
구간 전체,2차,-5.7
구간 전체,2차,-6.1
구간 전체,2차,-5.9
구간 전체,2차,-6.1
구간 전체,2차,-6
구간 전체,2차,-5.5
구간 전체,2차,-5.7
구간 전체,2차,-5.3
구간 전체,2차,-5.4
구간 전체,2차,-5.4
구간 전체,2차,-5.5
구간 전체,2차,-5.4
구간 전체,2차,-5.3
구간 전체,2차,-5.3
구간 전체,2차,-5.5
구간 전체,2차,-5.3
구간 전체,2차,-5.4
구간 전체,2차,-5.3
구간 전체,2차,-5.5
구간 전체,2차,-5.4
구간 전체,2차,-5.5
구간 전체,2차,-5.3
구간 전체,2차,-5.3
구간 전체,2차,-6.6
구간 전체,2차,-5.7
구간 전체,2차,-6.6
구간 전체,2차,-6.7
구간 전체,2차,-6.6
구간 전체,2차,-6.5
구간 전체,2차,-6.6
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.8
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.3
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-5.6
구간 전체,2차,-6
구간 전체,2차,-6.1
구간 전체,2차,-5.9
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.5
구간 전체,2차,-6.4
구간 전체,2차,-6.2
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.2
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-5.6
구간 전체,2차,-5.9
구간 전체,2차,-6.1
구간 전체,2차,-5.8
구간 전체,2차,-6.1
구간 전체,2차,-6
구간 전체,2차,-6.3
구간 전체,2차,-6.1
구간 전체,2차,-6.4
구간 전체,2차,-6.3
구간 전체,2차,-6.3
구간 전체,2차,-6.4
구간 전체,2차,-6.6
구간 전체,2차,-6.4
구간 전체,2차,-6.5
구간 전체,2차,-6.5
구간 전체,2차,-6.3
구간 전체,2차,-6.2
구간 전체,2차,-6
구간 전체,2차,-6.2
구간 전체,2차,-5.6
구간 전체,2차,-5.7
구간 전체,2차,-5.9
구간 전체,2차,-5.5
구간 전체,2차,-6.2
구간 전체,2차,-6.1
구간 전체,2차,-6.1
구간 전체,2차,-6
구간 전체,2차,-6.5
구간 전체,2차,-6.3
구간 전체,2차,-6.7
구간 전체,2차,-6.4
구간 전체,2차,-6.7
구간 전체,2차,-6.6
구간 전체,2차,-6.3
구간 전체,2차,-6.7
구간 전체,2차,-5.2
구간 전체,2차,-5.6
구간 전체,2차,-5.3
구간 전체,2차,-5.1
구간 전체,2차,-5.1
구간 전체,2차,-5.3
구간 전체,2차,-5.2
구간 전체,2차,-5.2
구간 전체,2차,-5.3
구간 전체,2차,-5.2
구간 전체,2차,-5.3
구간 전체,2차,-5.3
구간 전체,2차,-5.2
구간 전체,2차,-5.3
구간 전체,2차,-5.4
구간 전체,2차,-5.3
구간 전체,2차,-5.6
구간 전체,2차,-5.4
구간 전체,2차,-5.5
구간 전체,2차,-5.5
구간 전체,2차,-5.6
구간 전체,2차,-5.6
구간 전체,2차,-5.6
구간 전체,2차,-5.6
구간 전체,2차,-6.4
구간 전체,2차,-5.7
구간 전체,2차,-6.6
구간 전체,2차,-6.4
구간 전체,2차,-6.7
구간 전체,2차,-6.7
구간 전체,2차,-6.9
구간 전체,2차,-6.9
구간 전체,2차,-6.9
구간 전체,2차,-6.9
구간 전체,2차,-6.3
구간 전체,2차,-6.9
구간 전체,2차,-6.1
구간 전체,2차,-5.9
구간 전체,2차,-6
구간 전체,2차,-5.6
구간 전체,2차,-5.9
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-5.7
구간 전체,2차,-5.6
구간 전체,2차,-5.6
구간 전체,2차,-5.6
구간 전체,2차,-5.7
구간 전체,2차,-5.4
구간 전체,2차,-5.7
구간 전체,2차,-5.5
구간 전체,2차,-5.9
구간 전체,2차,-5.4
구간 전체,2차,-6
구간 전체,2차,-5.8
구간 전체,2차,-6.1
구간 전체,2차,-5.6
구간 전체,2차,-6.2
구간 전체,2차,-6
구간 전체,2차,-6.5
구간 전체,2차,-6.2
구간 전체,2차,-6
구간 전체,2차,-5.7
구간 전체,2차,-5.8
구간 전체,2차,-5.5
구간 전체,2차,-5.6
구간 전체,2차,-5.7
구간 전체,2차,-5.5
구간 전체,2차,-5.7
구간 전체,2차,-5.5
구간 전체,2차,-5.7
구간 전체,2차,-5.6
구간 전체,2차,-5.5
구간 전체,2차,-5.6
구간 전체,2차,-5.7
구간 전체,2차,-5.7
구간 전체,2차,-5.2
구간 전체,2차,-5.5
구간 전체,2차,-5.2
구간 전체,2차,-5.1
구간 전체,2차,-5.5
구간 전체,2차,-5.3
구간 전체,2차,-5.1
구간 전체,2차,-4.9
구간 전체,2차,-5
구간 전체,2차,-5.1
구간 전체,2차,-5.1
구간 전체,2차,-5.4
구간 전체,2차,-5.3
구간 전체,2차,-5.1
구간 전체,2차,-5.7
구간 전체,2차,-5.4
구간 전체,2차,-5.3
구간 전체,2차,-5.4
구간 전체,2차,-5.5
구간 전체,2차,-5.1
구간 전체,2차,-5.3
구간 전체,2차,-5.5
구간 전체,2차,-5.3
구간 전체,2차,-5.7
구간 전체,2차,-5.6
구간 전체,2차,-5.7
구간 전체,2차,-5.9
구간 전체,2차,-5.5
구간 전체,2차,-5.6
구간 전체,2차,-5.8
구간 전체,2차,-5.7
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-5.9
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-5.9
구간 전체,2차,-6
구간 전체,2차,-5.8
구간 전체,2차,-5.5
구간 전체,2차,-5.9
구간 전체,2차,-5.8
구간 전체,2차,-5.8
구간 전체,2차,-5.2
구간 전체,2차,-5.6
구간 전체,2차,-1
구간 전체,2차,-4
구간 전체,2차,-4
구간 전체,2차,-4
구간 전체,2차,-4
구간 전체,2차,-4
구간 전체,2차,-4
진입 전,2차,-5.5
진입 전,2차,-5.5
진입 전,2차,-5.6
진입 전,2차,-5.5
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.4
진입 전,2차,-5.6
진입 전,2차,-5.2
진입 전,2차,-5.4
진입 전,2차,-5.3
진입 전,2차,-5.3
진입 전,2차,-5.1
진입 전,2차,-5.1
진입 전,2차,-5.3
진입 전,2차,-4.9
진입 전,2차,-5.1
진입 전,2차,-5.1
진입 전,2차,-5.5
진입 전,2차,-5.2
진입 전,2차,-5.5
진입 전,2차,-5.5
진입 전,2차,-5.4
진입 전,2차,-5.2
진입 전,2차,-5.6
진입 전,2차,-5.5
진입 전,2차,-5.4
진입 전,2차,-5.5
진입 전,2차,-5.3
진입 전,2차,-5.4
진입 전,2차,-5.4
진입 전,2차,-5.5
진입 전,2차,-5.4
진입 전,2차,-5.3
진입 전,2차,-5.3
진입 전,2차,-5.5
진입 전,2차,-5.3
진입 전,2차,-5.4
진입 전,2차,-5.3
진입 전,2차,-5.5
진입 전,2차,-5.4
진입 전,2차,-5.5
진입 전,2차,-5.3
진입 전,2차,-5.3
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.5
진입 전,2차,-5.2
진입 전,2차,-5.6
진입 전,2차,-5.3
진입 전,2차,-5.1
진입 전,2차,-5.1
진입 전,2차,-5.3
진입 전,2차,-5.2
진입 전,2차,-5.2
진입 전,2차,-5.3
진입 전,2차,-5.2
진입 전,2차,-5.3
진입 전,2차,-5.3
진입 전,2차,-5.2
진입 전,2차,-5.3
진입 전,2차,-5.4
진입 전,2차,-5.3
진입 전,2차,-5.6
진입 전,2차,-5.4
진입 전,2차,-5.5
진입 전,2차,-5.5
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.6
진입 전,2차,-5.4
진입 전,2차,-5.5
진입 전,2차,-5.4
진입 전,2차,-5.6
진입 전,2차,-5.5
진입 전,2차,-5.6
진입 전,2차,-5.5
진입 전,2차,-5.5
진입 전,2차,-5.6
진입 전,2차,-5.5
진입 전,2차,-5.6
진입 전,2차,-5.2
진입 전,2차,-5.5
진입 전,2차,-5.2
진입 전,2차,-5.1
진입 전,2차,-5.5
진입 전,2차,-5.3
진입 전,2차,-5.1
진입 전,2차,-4.9
진입 전,2차,-5
진입 전,2차,-5.1
진입 전,2차,-5.1
진입 전,2차,-5.4
진입 전,2차,-5.3
진입 전,2차,-5.1
진입 전,2차,-5.4
진입 전,2차,-5.3
진입 전,2차,-5.4
진입 전,2차,-5.5
진입 전,2차,-5.1
진입 전,2차,-5.3
진입 전,2차,-5.5
진입 전,2차,-5.3
진입 전,2차,-5.6
진입 전,2차,-5.5
진입 전,2차,-5.6
진입 전,2차,-5.5
진입 전,2차,-5.2
진입 전,2차,-5.6
진입 전,2차,-1
진입 전,2차,-4
진입 전,2차,-4
진입 전,2차,-4
진입 전,2차,-4
진입 전,2차,-4
진입 전,2차,-4
급락구간,2차,-6
급락구간,2차,-6.1
급락구간,2차,-6.8
급락구간,2차,-7
급락구간,2차,-6.8
급락구간,2차,-7
급락구간,2차,-6.8
급락구간,2차,-6.9
급락구간,2차,-6
급락구간,2차,-6.1
급락구간,2차,-6.1
급락구간,2차,-6
급락구간,2차,-6.6
급락구간,2차,-6.6
급락구간,2차,-6.7
급락구간,2차,-6.6
급락구간,2차,-6.5
급락구간,2차,-6.6
급락구간,2차,-6.5
급락구간,2차,-6.5
급락구간,2차,-6.5
급락구간,2차,-6.5
급락구간,2차,-6.3
급락구간,2차,-6.4
급락구간,2차,-6.5
급락구간,2차,-6.5
급락구간,2차,-6.8
급락구간,2차,-6.3
급락구간,2차,-6.4
급락구간,2차,-6.4
급락구간,2차,-6.4
급락구간,2차,-6.3
급락구간,2차,-6.4
급락구간,2차,-6.3
급락구간,2차,-6.3
급락구간,2차,-6.1
급락구간,2차,-6.1
급락구간,2차,-6
급락구간,2차,-6.1
급락구간,2차,-6.1
급락구간,2차,-6.1
급락구간,2차,-6.3
급락구간,2차,-6.2
급락구간,2차,-6.4
급락구간,2차,-6.3
급락구간,2차,-6.5
급락구간,2차,-6.4
급락구간,2차,-6.2
급락구간,2차,-6.3
급락구간,2차,-6.2
급락구간,2차,-6.2
급락구간,2차,-6.2
급락구간,2차,-6.2
급락구간,2차,-6.1
급락구간,2차,-6.1
급락구간,2차,-6.1
급락구간,2차,-6.1
급락구간,2차,-6
급락구간,2차,-6.3
급락구간,2차,-6.1
급락구간,2차,-6.4
급락구간,2차,-6.3
급락구간,2차,-6.3
급락구간,2차,-6.4
급락구간,2차,-6.6
급락구간,2차,-6.4
급락구간,2차,-6.5
급락구간,2차,-6.5
급락구간,2차,-6.3
급락구간,2차,-6.2
급락구간,2차,-6
급락구간,2차,-6.2
급락구간,2차,-6.2
급락구간,2차,-6.1
급락구간,2차,-6.1
급락구간,2차,-6
급락구간,2차,-6.5
급락구간,2차,-6.3
급락구간,2차,-6.7
급락구간,2차,-6.4
급락구간,2차,-6.7
급락구간,2차,-6.6
급락구간,2차,-6.3
급락구간,2차,-6.7
급락구간,2차,-6.4
급락구간,2차,-6.6
급락구간,2차,-6.4
급락구간,2차,-6.7
급락구간,2차,-6.7
급락구간,2차,-6.9
급락구간,2차,-6.9
급락구간,2차,-6.9
급락구간,2차,-6.9
급락구간,2차,-6.3
급락구간,2차,-6.9
급락구간,2차,-6.1
급락구간,2차,-6
급락구간,2차,-6
급락구간,2차,-6.1
급락구간,2차,-6.2
급락구간,2차,-6
급락구간,2차,-6.5
급락구간,2차,-6.2
급락구간,2차,-6
급락구간,2차,-6
구간 전체,3차,-5.4
구간 전체,3차,-5
구간 전체,3차,-5.3
구간 전체,3차,-5.6
구간 전체,3차,-5.6
구간 전체,3차,-5.4
구간 전체,3차,-5.2
구간 전체,3차,-5.2
구간 전체,3차,-5.1
구간 전체,3차,-5
구간 전체,3차,-4.8
구간 전체,3차,-5
구간 전체,3차,-5
구간 전체,3차,-4.9
구간 전체,3차,-5
구간 전체,3차,-4.9
구간 전체,3차,-5.1
구간 전체,3차,-4.8
구간 전체,3차,-4.9
구간 전체,3차,-5.1
구간 전체,3차,-5
구간 전체,3차,-4.9
구간 전체,3차,-5
구간 전체,3차,-4.9
구간 전체,3차,-4.7
구간 전체,3차,-5
구간 전체,3차,-5
구간 전체,3차,-5
구간 전체,3차,-5
구간 전체,3차,-5
구간 전체,3차,-4.9
구간 전체,3차,-4.9
